seed,method,cycle,training_vms,feedback_vms_remaining,accuracy_pct,precision_pct,recall_pct,f1_pct,mean_confidence_pct
21,random,3,739,231,98.35390946502058,97.97979797979798,97.97979797979798,97.97979797979798,93.41426611796983
21,random,4,759,211,97.94238683127571,97.0,97.97979797979798,97.48743718592965,93.3923182441701
21,random,5,779,191,98.76543209876543,98.0,98.98989898989899,98.49246231155779,93.49794238683127
100,confidence,0,679,291,97.11934156378601,98.93617021276596,93.93939393939394,96.37305699481865,93.94650205761317
100,confidence,1,699,271,98.35390946502058,100.0,95.95959595959596,97.9381443298969,94.45541838134432
100,confidence,2,719,251,98.35390946502058,100.0,95.95959595959596,97.9381443298969,94.39506172839506
100,confidence,3,739,231,98.35390946502058,100.0,95.95959595959596,97.9381443298969,94.61865569272977
100,confidence,4,759,211,98.35390946502058,100.0,95.95959595959596,97.9381443298969,94.80246913580247
100,confidence,5,779,191,98.35390946502058,100.0,95.95959595959596,97.9381443298969,94.79286694101509
100,random,0,679,291,97.11934156378601,98.93617021276596,93.93939393939394,96.37305699481865,93.94650205761317
100,random,1,699,271,97.53086419753086,98.94736842105263,94.94949494949495,96.90721649484536,93.93689986282578
100,random,2,719,251,97.53086419753086,98.94736842105263,94.94949494949495,96.90721649484536,93.94513031550068
100,random,3,739,231,97.53086419753086,100.0,93.93939393939394,96.875,93.88065843621399
100,random,4,759,211,97.94238683127571,100.0,94.94949494949495,97.40932642487047,94.06035665294925
100,random,5,779,191,97.94238683127571,100.0,94.94949494949495,97.40932642487047,94.0727023319616
123,confidence,0,679,291,99.58847736625515,100.0,98.98989898989899,99.49238578680203,93.98765432098764
123,confidence,1,699,271,99.1769547325103,98.98989898989899,98.98989898989899,98.98989898989899,94.10150891632372
123,confidence,2,719,251,98.76543209876543,98.9795918367347,97.97979797979798,98.47715736040608,94.17421124828533
123,confidence,3,739,231,98.76543209876543,98.9795918367347,97.97979797979798,98.47715736040608,94.75857338820302
123,confidence,4,759,211,98.76543209876543,98.9795918367347,97.97979797979798,98.47715736040608,94.96982167352539
123,confidence,5,779,191,99.1769547325103,100.0,97.97979797979798,98.9795918367347,94.93964334705075
123,random,0,679,291,99.58847736625515,100.0,98.98989898989899,99.49238578680203,93.98765432098764
123,random,1,699,271,99.58847736625515,100.0,98.98989898989899,99.49238578680203,93.96296296296298
123,random,2,719,251,99.58847736625515,100.0,98.98989898989899,99.49238578680203,94.08230452674897
123,random,3,739,231,99.1769547325103,98.98989898989899,98.98989898989899,98.98989898989899,94.20987654320989
123,random,4,759,211,99.1769547325103,98.98989898989899,98.98989898989899,98.98989898989899,94.38820301783265
123,random,5,779,191,99.1769547325103,98.98989898989899,98.98989898989899,98.98989898989899,94.26886145404664
1,confidence,0,679,291,96.29629629629629,97.87234042553192,92.92929292929293,95.33678756476684,92.2798353909465
1,confidence,1,699,271,97.11934156378601,98.93617021276596,93.93939393939394,96.37305699481865,92.60219478737997
1,confidence,2,719,251,98.35390946502058,100.0,95.95959595959596,97.9381443298969,93.46639231824417
1,confidence,3,739,231,97.94238683127571,100.0,94.94949494949495,97.40932642487047,93.72702331961591
1,confidence,4,759,211,98.35390946502058,100.0,95.95959595959596,97.9381443298969,93.5829903978052
1,confidence,5,779,191,97.53086419753086,98.94736842105263,94.94949494949495,96.90721649484536,93.70644718792866
1,random,0,679,291,96.29629629629629,97.87234042553192,92.92929292929293,95.33678756476684,92.2798353909465
1,random,1,699,271,96.70781893004116,97.89473684210527,93.93939393939394,95.87628865979381,92.33333333333333
1,random,2,719,251,96.29629629629629,97.87234042553192,92.92929292929293,95.33678756476684,92.25788751714677
1,random,3,739,231,95.88477366255144,97.84946236559139,91.91919191919192,94.79166666666666,92.59533607681756
1,random,4,759,211,96.70781893004116,97.89473684210527,93.93939393939394,95.87628865979381,92.73799725651578
1,random,5,779,191,96.70781893004116,97.89473684210527,93.93939393939394,95.87628865979381,92.62551440329219
